symbol,candidate_id,family,stop_atr_multiple,parameter_stability,robust,validation_sharpe,validation_return_pct,walk_forward_median_sharpe,oos_sharpe,oos_return_pct,oos_max_drawdown_pct,stress_median_sharpe,stress_profitable_pct,trades,dynamic_leverage_sharpe,dynamic_leverage_return_pct,dynamic_leverage_max_drawdown_pct,dynamic_leverage_no_trade_or_below_1x_pct
BTC/USDT,momentum_filter_12_48_6,momentum_trend_filter,2.5,0.0,False,-4.170767381604553,-88.80615198527947,-3.4064481826324107,-3.3214222947362555,-91.7134704369147,-92.89489438637919,-3.303699157791481,0.0,1767,,,,
BTC/USDT,momentum_filter_12_48_12,momentum_trend_filter,2.5,0.0,False,-2.304613039798796,-72.56037881946986,-1.8545599781374278,-1.8361770123352081,-77.45721194475476,-83.29581955513365,-1.8640996425625143,0.0,1275,,,,
BTC/USDT,combo_40_6_0.001,trend_momentum_combo,3.0,1.0,False,0.1566729450897142,1.2446919663565925,-1.211076788643189,-1.8479864423620678,-58.49477157015131,-63.852210512910425,-1.0425709219763863,22.0,431,,,,
BTC/USDT,combo_40_6_0.002,trend_momentum_combo,3.0,1.0,False,0.1861553012007693,2.2222965235177528,-1.2003709172050947,-1.82915570271495,-58.12461170498708,-63.76731839214469,-1.0443913266662612,23.0,428,,,,
BTC/USDT,combo_40_12_0.001,trend_momentum_combo,3.0,1.0,False,0.5749450343851757,17.596006365796747,-0.61899837651783,-1.1832219979569156,-49.111250042087796,-58.49997174673279,-0.443341825172873,35.0,372,,,,
BTC/USDT,combo_40_12_0.002,trend_momentum_combo,3.0,1.0,False,0.5994249796247245,18.651437634008406,-0.6038451859109736,-1.159474249291627,-48.46911464981418,-58.24995882383555,-0.43558945967835455,35.0,369,,,,
BTC/USDT,combo_55_6_0.001,trend_momentum_combo,3.0,1.0,False,0.12144859022780462,0.18114223777838667,-1.2033289142874293,-1.7999429298889777,-56.162373531150344,-61.920784747392254,-1.0901447185577764,21.0,394,,,,
BTC/USDT,combo_55_6_0.002,trend_momentum_combo,3.0,1.0,False,0.16077609185990718,1.4407786892935759,-1.2017457452652303,-1.797874838122943,-56.112200898032484,-61.877202677600195,-1.0901447185577764,22.0,393,,,,
BTC/USDT,combo_55_12_0.001,trend_momentum_combo,3.0,1.0,False,0.5185435131633627,14.911324960399952,-0.6237628125773154,-1.1288045718505184,-46.40324720769043,-56.61902316051349,-0.8191870199384976,30.0,336,,,,
BTC/USDT,combo_55_12_0.002,trend_momentum_combo,3.0,1.0,False,0.5534878202293638,16.35617266705165,-0.6221758850670154,-1.1268068756035277,-46.34190514994749,-56.569373167788314,-0.8191870199384976,30.0,335,,,,
ETH/USDT,donchian_40_15,donchian_trend,3.0,0.0,False,-0.6562986156470911,-35.49309451672447,0.023704541116975054,0.03673026380586437,-16.66436798666304,-43.11733123129433,-0.10421894673786275,28.499999999999996,237,,,,
ETH/USDT,donchian_40_20,donchian_trend,3.0,0.0,False,-0.5625369575330601,-32.67541345010905,0.1628825780781759,0.08727095045239612,-14.349273601875833,-43.18575870372301,-0.02288835761945523,27.0,219,,,,
ETH/USDT,donchian_55_15,donchian_trend,3.0,0.0,False,-0.34387496253528416,-23.57137562108077,0.21458805325951277,0.14267507144275746,-7.172604413309336,-42.2843959637264,0.08723671050453734,31.5,220,,,,
ETH/USDT,donchian_55_20,donchian_trend,3.0,0.0,False,-0.07670766208990727,-13.20765421958373,0.4276505857301205,0.21646174831929027,-1.8871008808035272,-46.034679925911284,0.2286138498563477,50.5,203,,,,
ETH/USDT,donchian_80_15,donchian_trend,3.0,0.0,False,-0.1459016193912859,-14.742801432783503,0.008318100123289408,0.16885701023232824,-3.925157011914715,-43.37081229777768,0.1522266553544544,36.0,195,,,,
ETH/USDT,donchian_80_20,donchian_trend,3.0,0.0,False,0.15461808097299762,-1.5512909602935832,0.345956211039208,0.32102478785159455,9.186437064453369,-47.03812861104776,0.23103136248495093,44.0,181,,,,
