target,timeframe,horizon,feature_set_id,model_id,split_id,metric_roc_auc,metric_pr_auc,metric_log_loss,metric_brier_score,metric_balanced_accuracy,metric_accuracy,metric_mean_forward_return
BTC/USDT,1h,3d,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2022,0.5180025001060901,0.4829376549178275,0.7297185482787512,0.26572048664012904,0.5048059454077585,0.5420091324200913,-0.006866674626530365
BTC/USDT,1h,3d,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2023,0.5444233808964895,0.6136928091653956,0.7098666040524869,0.25787398719134735,0.5444117111219221,0.5117022491151958,0.008923371704648183
BTC/USDT,1h,3d,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2024,0.4830329392271312,0.5447543550017209,0.7322080148251823,0.26875573482750775,0.5016151493908714,0.4615209471766849,0.007492525517455866
BTC/USDT,1h,3d,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2022,0.5466837977420362,0.5308579013425367,0.7253440638640106,0.2656521792097785,0.5106481376328807,0.48276255707762555,-0.006866674626530365
BTC/USDT,1h,3d,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2023,0.5573363157378421,0.6016484929028776,0.7093449268980155,0.2573977075576596,0.5465178551765698,0.5206073752711496,0.008923371704648183
BTC/USDT,1h,3d,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2024,0.4935479169692024,0.5379769752404475,0.9117925747863503,0.3351825271372439,0.5009315316651815,0.4623178506375228,0.007492525517455866
BTC/USDT,1h,4h,crypto_core_v1,hist_gradient_boosting,wf_2022,0.5481512841282477,0.5330818529892649,0.6932341093511747,0.24993990396713928,0.5330465269765636,0.5320776255707762,-0.0003814488729362025
BTC/USDT,1h,4h,crypto_core_v1,hist_gradient_boosting,wf_2023,0.5666212558787074,0.5575567586170815,0.687098792472103,0.2469637236689434,0.5480787434641479,0.5498344559881265,0.0004712740487291986
BTC/USDT,1h,4h,crypto_core_v1,hist_gradient_boosting,wf_2024,0.5576286484284962,0.5721852494010151,0.6875316768784574,0.2472138666827033,0.5370915212882154,0.5391621129326047,0.0004221157517958839
BTC/USDT,1h,4h,crypto_core_v1,logistic_regression,wf_2022,0.5402524109316733,0.5262636597255644,0.6914987882839378,0.24916337704325645,0.5329226969823483,0.532648401826484,-0.0003814488729362025
BTC/USDT,1h,4h,crypto_core_v1,logistic_regression,wf_2023,0.5668824709143042,0.5695150875777295,0.6872036204485461,0.24703828821540094,0.5571793636940463,0.5575978993035735,0.0004712740487291986
BTC/USDT,1h,4h,crypto_core_v1,logistic_regression,wf_2024,0.5426864550420814,0.5588131609612059,0.690203944052208,0.24853865475945167,0.5299814822776301,0.5288023679417122,0.0004221157517958839
BTC/USDT,1h,4h,crypto_core_v1,random_forest,wf_2022,0.5524143356297964,0.5394800053797146,0.6901158065011955,0.24846177568545283,0.5405404179693664,0.5401826484018265,-0.0003814488729362025
BTC/USDT,1h,4h,crypto_core_v1,random_forest,wf_2023,0.5752260708303983,0.5639129267410736,0.6847725894049226,0.24582841929825808,0.5613210184408375,0.561822125813449,0.0004712740487291986
BTC/USDT,1h,4h,crypto_core_v1,random_forest,wf_2024,0.55891739654448,0.5729466222077599,0.6882540090850966,0.24756376709809302,0.5395511010007172,0.5393897996357013,0.0004221157517958839
BTC/USDT,1h,4h,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2022,0.5339484190603005,0.5191870622192738,0.7061669577431067,0.2559441647562093,0.5307419754592982,0.5289954337899543,-0.0003814488729362025
BTC/USDT,1h,4h,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2023,0.5621598167671837,0.5578158377841862,0.6893024456827069,0.24800835403447102,0.5458400964479866,0.5452677246260988,0.0004712740487291986
BTC/USDT,1h,4h,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2024,0.5601269884588234,0.5721135770982653,0.6927672673696753,0.24972616899562677,0.5382705307146831,0.5358606557377049,0.0004221157517958839
BTC/USDT,1h,4h,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2022,0.5351797338543907,0.5234656387995542,0.7023562472742165,0.2543913858660002,0.51477861850348,0.5171232876712328,-0.0003814488729362025
BTC/USDT,1h,4h,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2023,0.5609565378026686,0.5626691333982028,0.6880855991404864,0.24746935405163972,0.5496665042580371,0.5494919511359744,0.0004712740487291986
BTC/USDT,1h,4h,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2024,0.5402456194350516,0.5532490368402281,0.6944006463402559,0.2506080497714203,0.5216371361332977,0.5150273224043715,0.0004221157517958839
BTC/USDT,1h,4h,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2022,0.5403008378163823,0.5288734715284421,0.6949776738053822,0.25082234122774594,0.5275290158619681,0.5264840182648401,-0.0003814488729362025
BTC/USDT,1h,4h,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2023,0.5725766301179449,0.5663501218532101,0.6865966609811797,0.24672977375824837,0.5542415876867347,0.552231989953191,0.0004712740487291986
BTC/USDT,1h,4h,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2024,0.5534407946919185,0.5683687927726278,0.6935918762703346,0.2501522564158849,0.5354001902864203,0.5314207650273224,0.0004221157517958839
BTC/USDT,1h,7d,crypto_core_v1,hist_gradient_boosting,wf_2022,0.49353756259280857,0.4447380155948197,0.7302165724831923,0.266921644252909,0.49606919561395935,0.46872146118721464,-0.015220460947725493
BTC/USDT,1h,7d,crypto_core_v1,hist_gradient_boosting,wf_2023,0.5156887737319232,0.575558568416749,0.7078736364193775,0.2558515730834986,0.5185007444985806,0.5291699965749515,0.020952579031837646
BTC/USDT,1h,7d,crypto_core_v1,hist_gradient_boosting,wf_2024,0.5413946984597442,0.6012481708880111,0.6867417245503082,0.24664801803004258,0.5312112861886996,0.5579462659380692,0.018010835016609914
BTC/USDT,1h,7d,crypto_core_v1,logistic_regression,wf_2022,0.4640216354409429,0.41424864043660015,0.6995801414878472,0.25316716929622973,0.4792135691438064,0.4925799086757991,-0.015220460947725493
BTC/USDT,1h,7d,crypto_core_v1,logistic_regression,wf_2023,0.5274377871954758,0.608485972359532,0.6946798700208999,0.250770692218892,0.5125129346717529,0.4725425276858089,0.020952579031837646
BTC/USDT,1h,7d,crypto_core_v1,logistic_regression,wf_2024,0.5265906667761928,0.6012278927790466,0.693874549937179,0.250365765057619,0.5202049451673009,0.4972677595628415,0.018010835016609914
BTC/USDT,1h,7d,crypto_core_v1,random_forest,wf_2022,0.5076508195154099,0.45515084194157907,0.7025064347562179,0.2541025808447514,0.5053290002409246,0.49931506849315066,-0.015220460947725493
BTC/USDT,1h,7d,crypto_core_v1,random_forest,wf_2023,0.5077734676690943,0.5721082639541302,0.7062791627237612,0.2560928817259598,0.5008725282844009,0.48281767325037106,0.020952579031837646
BTC/USDT,1h,7d,crypto_core_v1,random_forest,wf_2024,0.5247819500975116,0.5909278082859106,0.6956127918244623,0.2511952574780698,0.5178974292241818,0.5047814207650273,0.018010835016609914
BTC/USDT,1h,7d,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2022,0.5775908794349256,0.5138927382812711,0.8510356315559345,0.30835142258016646,0.5415956675544159,0.5050228310502283,-0.015220460947725493
BTC/USDT,1h,7d,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2023,0.49945880045639446,0.5624316876563313,0.7525317956139416,0.27506456278193436,0.5106352721088834,0.5198081972827948,0.020952579031837646
BTC/USDT,1h,7d,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2024,0.5010991538048961,0.5595712395636541,1.1574809808805495,0.40997262144050434,0.4879957691568868,0.4213342440801457,0.018010835016609914
BTC/USDT,1h,7d,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2022,0.5426267552654734,0.49139430808443485,0.7399088726550379,0.2682193204229217,0.5121267758039139,0.5611872146118722,-0.015220460947725493
BTC/USDT,1h,7d,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2023,0.5103787071809551,0.5896107756501494,0.7407128558530416,0.2724275875474355,0.5162503005186001,0.45849982874757395,0.020952579031837646
BTC/USDT,1h,7d,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2024,0.4664916579292055,0.5528218926676673,0.7572116409196796,0.2805113575927204,0.4955725342206855,0.42873406193078323,0.018010835016609914
BTC/USDT,1h,7d,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2022,0.5703407308805707,0.4989870297621868,0.7501454434835778,0.27430568460896143,0.5486271173115114,0.5113013698630137,-0.015220460947725493
BTC/USDT,1h,7d,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2023,0.4993369700296618,0.5793636935181503,0.7123649440875793,0.2593307183110736,0.4956294298889441,0.48099098070556,0.020952579031837646
BTC/USDT,1h,7d,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2024,0.49747404090906033,0.5603792368320868,0.9736864287872267,0.36174229494276816,0.49594099318041096,0.42714025500910746,0.018010835016609914
